,State,Code,DonationAmount
0,Alabama,AL,879766.55
1,Alaska,AK,216747.75
2,Arizona,AZ,2243629.61
3,Arkansas,AR,486847.59
4,California,CA,20718081.39
5,Colorado,CO,3269234.31
6,Connecticut,CT,3254375.47
7,Delaware,DE,395310.76
8,District of Columbia,DC,1851464.228
9,Florida,FL,6333581.94
10,Georgia,GA,4378903.31
11,Hawaii,HI,663665.89
12,Idaho,ID,314748.68
13,Illinois,IL,7764364.5
14,Indiana,IN,2853344.93
15,Iowa,IA,832436.235
16,Kansas,KS,1079247.89
17,Kentucky,KY,1088206.92
18,Louisiana,LA,1175568.83
19,Maine,ME,700708.41
20,Maryland,MD,4594609.82
21,Massachusetts,MA,7866663.29
22,Michigan,MI,2572714.16
23,Minnesota,MN,2759019.49
24,Mississippi,MS,373415.39
25,Missouri,MO,1777154.83
26,Montana,MT,293761.21
27,Nebraska,NE,407412.4
28,Nevada,NV,817531.6
29,New Hampshire,NH,756404.72
30,New Jersey,NJ,5917717.82
31,New Mexico,NM,472717.24
32,New York,NY,15533852.42
33,North Carolina,NC,3616905.33
34,North Dakota,ND,121640.53
35,Ohio,OH,3150883.72
36,Oklahoma,OK,981431.41
37,Oregon,OR,2049478.35
38,Pennsylvania,PA,7687821.57
39,Rhode Island,RI,692442.16
40,South Carolina,SC,1493832.46
41,South Dakota,SD,166859.4
42,Tennessee,TN,2003641.15
43,Texas,TX,10188466.76
44,Utah,UT,641675.76
45,Vermont,VT,426606.74
46,Virginia,VA,5527673.65
47,Washington,WA,4125764.09
48,West Virginia,WV,212092.22
49,Wisconsin,WI,1505432.93
50,Wyoming,WY,200957.74
